id,average_similarity
0704.0001,0.5625039935112
0704.0002,0.7388649582862854
0704.0003,0.8792441487312317
0704.0004,0.902795135974884
0704.0005,0.7232515811920166
0704.0006,0.742035984992981
0704.0007,0.7479844689369202
0704.0008,0.798518717288971
0704.0009,0.7007518410682678
0704.0010,0.8426135778427124
0704.0011,0.8552655577659607
0704.0012,0.7651126384735107
0704.0013,0.885222315788269
0704.0014,0.5265080332756042
0704.0015,0.8346551060676575
0704.0016,0.8196674585342407
0704.0017,0.7914782762527466
0704.0018,0.8903404474258423
0704.0019,0.8461248874664307
0704.0020,0.8746710419654846
0704.0021,0.7032228708267212
0704.0022,0.6976296305656433
0704.0023,0.754956841468811
0704.0024,0.7760832905769348
0704.0025,0.5028488636016846
0704.0026,0.7933894395828247
0704.0027,0.7695401906967163
0704.0028,0.7272508144378662
0704.0029,0.8439759016036987
0704.0030,0.6849425435066223
0704.0031,0.880770206451416
0704.0032,0.79670649766922
0704.0033,0.7827838063240051
0704.0034,0.6125255823135376
0704.0035,0.5886510610580444
0704.0036,0.8425471782684326
0704.0037,0.87286776304245
0704.0038,0.7217379808425903
0704.0039,0.6950068473815918
0704.0040,0.8354112505912781
0704.0041,0.8415467143058777
0704.0042,0.7249776721000671
0704.0043,0.7639524340629578
0704.0044,0.7935481667518616
0704.0045,0.8816582560539246
0704.0046,0.7730921506881714
0704.0047,0.8217945694923401
0704.0048,0.6866633296012878
0704.0049,0.8886005282402039
0704.0050,0.8311974406242371
0704.0051,0.8773249983787537
0704.0052,0.7602370381355286
0704.0053,0.8265682458877563
0704.0054,0.85288405418396
0704.0055,0.8529301285743713
0704.0056,0.7594388127326965
0704.0057,0.7214213013648987
0704.0058,0.7776142358779907
0704.0059,0.8000918030738831
0704.0060,0.8387974500656128
0704.0061,0.835171103477478
0704.0062,0.851914644241333
0704.0063,0.8960776925086975
0704.0064,0.7507148385047913
0704.0065,0.665571391582489
0704.0066,0.802875816822052
0704.0067,0.7168365716934204
0704.0068,0.6458550691604614
0704.0069,0.6770017743110657
0704.0070,0.8266525268554688
0704.0071,0.5140854120254517
0704.0072,0.7690637111663818
0704.0073,0.7758885622024536
0704.0074,0.8042674660682678
0704.0075,0.8686683773994446
0704.0076,0.7429301738739014
0704.0077,0.7647767066955566
0704.0078,0.8520145416259766
0704.0079,0.5736806988716125
0704.0080,0.7512490749359131
0704.0081,0.8110598921775818
0704.0082,0.7356894016265869
0704.0083,0.7344145178794861
0704.0084,0.7229336500167847
0704.0085,0.6736899018287659
0704.0086,0.7333794832229614
0704.0087,0.7358216643333435
0704.0088,0.8577089309692383
0704.0089,0.8345724940299988
0704.0090,0.9071457982063293
0704.0091,0.7774027585983276
0704.0092,0.7511597275733948
0704.0093,0.8349326252937317
0704.0094,0.7777631878852844
0704.0095,0.6940364837646484
0704.0096,0.847486674785614
0704.0097,0.7958221435546875
0704.0098,0.8851129412651062
0704.0099,0.7413612604141235
0704.0100,0.8086230754852295
0704.0101,0.7827830910682678
0704.0102,0.7320903539657593
0704.0103,0.7209258675575256
0704.0104,0.7806212306022644
0704.0105,0.847344160079956
0704.0106,0.7884572744369507
0704.0107,0.6253958940505981
0704.0108,0.7422989010810852
0704.0109,0.9283028841018677
0704.0110,0.7572983503341675
0704.0111,0.8508076667785645
0704.0112,0.7250890135765076
0704.0113,0.740841805934906
0704.0114,0.6982027888298035
0704.0115,0.5952489376068115
0704.0116,0.8352303504943848
0704.0117,0.7455940842628479
0704.0118,0.8273663520812988
0704.0119,0.7617167234420776
0704.0120,0.79322350025177
0704.0121,0.8165029883384705
0704.0122,0.7337154746055603
0704.0123,0.7854669690132141
0704.0124,0.8937165141105652
0704.0125,0.8705880641937256
0704.0126,0.760847806930542
0704.0127,0.7770603895187378
0704.0128,0.8194659948348999
0704.0129,0.6815720796585083
0704.0130,0.8191914558410645
0704.0131,0.7604190111160278
0704.0132,0.717113196849823
0704.0133,0.8377646803855896
0704.0134,0.7562078237533569
0704.0135,0.8759750723838806
0704.0136,0.8446336388587952
0704.0137,0.8958869576454163
0704.0138,0.8034166693687439
0704.0139,0.862070620059967
0704.0140,0.8182341456413269
0704.0141,0.7599208354949951
0704.0142,0.6767551302909851
0704.0143,0.8120803833007812
0704.0144,0.6063515543937683
0704.0145,0.8204617500305176
0704.0146,0.8631109595298767
0704.0147,0.7843737006187439
0704.0148,0.7874109745025635
0704.0149,0.7242498397827148
0704.0150,0.7376298308372498
0704.0151,0.723636269569397
0704.0152,0.7857813239097595
0704.0153,0.6644469499588013
0704.0154,0.8090534210205078
0704.0155,0.7645642757415771
0704.0156,0.30801910161972046
0704.0157,0.7561228275299072
0704.0158,0.8016583323478699
0704.0159,0.7569805979728699
0704.0160,0.8682818412780762
0704.0161,0.8002910017967224
0704.0162,0.7033833861351013
0704.0163,0.7250685095787048
0704.0164,0.7495224475860596
0704.0165,0.6546652913093567
0704.0166,0.7977916598320007
0704.0167,0.8452563285827637
0704.0168,0.8696246147155762
0704.0169,0.7640137672424316
0704.0170,0.8323462605476379
0704.0171,0.8434524536132812
0704.0172,0.8130980730056763
0704.0173,0.886492908000946
0704.0174,0.6878944635391235
0704.0175,0.9090538620948792
0704.0176,0.6373741626739502
0704.0177,0.8293611407279968
0704.0178,0.9556452631950378
0704.0179,0.9638069868087769
0704.0180,0.8478646278381348
0704.0181,0.7519991993904114
0704.0182,0.7517783641815186
0704.0183,0.8416935205459595
0704.0184,0.8848116993904114
0704.0185,0.5758240222930908
0704.0186,0.8454824686050415
0704.0187,0.786677896976471
0704.0188,0.7434853911399841
0704.0189,0.7329849004745483
0704.0190,0.8770269751548767
0704.0191,0.8960081934928894
0704.0192,0.9123529195785522
0704.0193,0.9232562780380249
0704.0194,0.6949671506881714
0704.0195,0.7903656959533691
0704.0196,0.8386868834495544
0704.0197,0.7779103517532349
0704.0198,0.7861768007278442
0704.0199,0.6871339082717896
0704.0200,0.7377046346664429
